Beds,Baths,SQFT,Price,Zip_Code,Address,Property_ID,Property_Type,URL,Price_Per_SQFT,Region,Zip_Avg_Price_Per_SQFT,Deal_Score_Per_SQFT,Estimated_Value_From_Zip_Avg,Estimated_Savings,Savings_Percent,Deal_Label
3.0,3.0,1750.0,389900.0,19111,"7142 Lawndale Ave, Philadelphia, PA 19111",39305753,Unknown,https://www.redfin.com/PA/Philadelphia/7142-Lawndale-Ave-19111/home/39305753,222.8,Philadelphia / Southeast PA Area,228.6104925889901,5.810492588990087,400068.3620307327,10168.362030732678,2.541656125747719,Slight Value
3.0,4.0,1920.0,275000.0,18102,"220 S Madison St, Allentown, PA 18102",59198454,Unknown,https://www.redfin.com/PA/Allentown/220-S-Madison-St-18102/home/59198454,143.22916666666666,Lehigh Valley / Scranton Area,146.92140064971593,3.6922339830492774,282089.0892474546,7089.089247454598,2.513067508696126,Slight Value
3.0,2.0,1998.0,759900.0,15222,"59 Waterfront Dr, Pittsburgh, PA 15222",74561436,Unknown,https://www.redfin.com/PA/Pittsburgh/59-Waterfront-Dr-15222/home/74561436,380.33033033033036,Pittsburgh Area,390.04285744222494,9.712527111894588,779305.6291695654,19405.629169565393,2.490117925908503,Slight Value
2.0,2.0,1920.0,250000.0,18503,"816 Capouse Ave, Scranton, PA 18509",184179169,Unknown,https://www.redfin.com/PA/Scranton/816-Capouse-Ave-18509/home/184179169,130.20833333333334,Lehigh Valley / Scranton Area,133.39233080369655,3.1839974703632095,256113.2751430974,6113.275143097388,2.386941926255769,Slight Value
5.0,5.0,1834.0,265000.0,18102,"622 N Law St, Allentown, PA 18102",69113366,Unknown,https://www.redfin.com/PA/Allentown/622-N-Law-St-18102/home/69113366,144.4929116684842,Lehigh Valley / Scranton Area,146.92140064971593,2.4284889812317374,269453.848791579,4453.848791579017,1.6529171179232416,Slight Value
4.0,4.0,2297.0,635000.0,19038,"1803 Harris Rd, Glenside, PA 19038",38281596,Unknown,https://www.redfin.com/PA/Glenside/1803-Harris-Rd-19038/home/38281596,276.4475402699173,Philadelphia / Southeast PA Area,280.5992061963203,4.151665926403041,644536.3766329478,9536.376632947824,1.479571515073481,Slight Value
4.0,4.0,1746.0,449900.0,19128,"6707 Cinnamon Dr, Philadelphia, PA 19128",38550650,Unknown,https://www.redfin.com/PA/Philadelphia/6707-Cinnamon-Dr-19128/home/38550650,257.67468499427264,Philadelphia / Southeast PA Area,261.52249037427634,3.847805380003706,456618.2681934865,6718.268193486496,1.471309551425943,Slight Value
2.0,3.0,2068.0,445000.0,18018,"306 E Broad St, Bethlehem, PA 18018",59199573,Unknown,https://www.redfin.com/PA/Bethlehem/306-E-Broad-St-18018/home/59199573,215.18375241779498,Lehigh Valley / Scranton Area,218.36740702289026,3.1836546050952848,451583.7977233371,6583.797723337077,1.4579348852924616,Slight Value
3.0,3.0,1692.0,450000.0,15217,"5642 Solway St, Pittsburgh, PA 15217",73509870,Unknown,https://www.redfin.com/PA/Pittsburgh/5642-Solway-St-15217/home/73509870,265.9574468085106,Pittsburgh Area,269.2839100721977,3.326463263687117,455628.37584215857,5628.375842158566,1.235299674159974,Slight Value
2.0,1.0,2668.0,299900.0,17102,"1908 Green St, Harrisburg, PA 17102",123400265,Unknown,https://www.redfin.com/PA/Harrisburg/1908-Green-St-17102/home/123400265,112.40629685157421,Central PA,113.43529129554562,1.0289944439714134,302645.35717651574,2745.3571765157394,0.9071202023808116,Slight Value
3.0,5.0,2182.0,825000.0,15232,"Undisclosed Address, Pittsburgh, PA 15232",74665363,Unknown,https://www.redfin.com/PA/Pittsburgh/Undisclosed-address-15232/home/74665363,378.0934922089826,Pittsburgh Area,380.7788771479076,2.68538493892504,830859.5099367345,5859.509936734452,0.705234743859479,Slight Value
1.0,1.0,840.0,219900.0,15213,"5 Bayard Rd #810, Pittsburgh, PA 15213",74665138,Unknown,https://www.redfin.com/PA/Pittsburgh/5-Bayard-Rd-15213/unit-810/home/74665138,261.7857142857143,Pittsburgh Area,263.0770314267423,1.2913171410280029,220984.70639846352,1084.706398463517,0.4908513426751141,Slight Value
3.0,3.0,1560.0,355000.0,19111,"8030 Ferndale St, Philadelphia, PA 19111",39436002,Unknown,https://www.redfin.com/PA/Philadelphia/8030-Ferndale-St-19111/home/39436002,227.56410256410257,Philadelphia / Southeast PA Area,228.6104925889901,1.046390024887529,356632.36843882455,1632.3684388245456,0.457717409659229,Slight Value
3.0,3.0,1440.0,375000.0,19128,"313 Gates St, Philadelphia, PA 19128",38529278,Unknown,https://www.redfin.com/PA/Philadelphia/313-Gates-St-19128/home/38529278,260.4166666666667,Philadelphia / Southeast PA Area,261.52249037427634,1.1058237076096589,376592.3861389579,1592.3861389579251,0.4228407683129192,Slight Value
4.0,4.0,1766.0,200000.0,17102,"215 Briggs St, Harrisburg, PA 17102",123335953,Unknown,https://www.redfin.com/PA/Harrisburg/215-Briggs-St-17102/home/123335953,113.25028312570781,Central PA,113.43529129554562,0.18500816983781476,200326.72442793357,326.72442793357186,0.16309577709443812,Slight Value
