Region,avg_price,median_price,avg_price_per_sqft,median_price_per_sqft,listing_count
Central PA,328093.89090909093,265000.0,159.2138826298716,147.05882352941177,55
Lehigh Valley / Scranton Area,286544.6379310345,272449.5,167.1260178978042,158.61553095814597,58
Philadelphia / Southeast PA Area,457035.3806818182,387450.0,228.8135149631643,232.90219907407408,176
Pittsburgh Area,781508.3205128205,599450.0,324.26707419476054,314.2894836212593,78
State College Area,587961.0256410256,480000.0,250.0016129848111,228.78048780487805,39
