Zip_Code,avg_price,median_price,avg_price_per_sqft,median_price_per_sqft,listing_count
15213,637075.0,342450.0,263.0770314267423,229.10797718544904,20
15217,625080.0,537000.0,269.2839100721977,209.6027912842101,20
15222,609005.2631578947,575000.0,390.04285744222494,380.33033033033036,19
15232,1270707.8421052631,995000.0,380.7788771479076,404.85312899106003,19
16801,624842.1052631579,499800.0,277.08351923695045,237.7450980392157,19
16803,552924.0,457500.0,224.27380204527876,209.8242735905606,20
17101,292419.15789473685,225000.0,157.52119363592462,128.88153647514525,19
17102,210005.88235294117,199900.0,113.43529129554562,113.25028312570781,17
17601,469426.3157894737,425000.0,201.8663638703207,204.16666666666666,19
18018,330005.0,317400.0,218.36740702289026,221.48428127218864,20
18102,249442.05263157896,250000.0,146.92140064971593,144.4929116684842,19
18503,277899.4736842105,229900.0,133.39233080369655,124.16666666666667,19
19020,506389.4736842105,449900.0,260.8656070963141,261.92139737991266,19
19038,626254.95,616250.0,280.5992061963203,279.04457213997114,20
19067,637124.5,662450.0,266.20188357827504,290.61930053191065,20
19104,409989.4736842105,325000.0,207.40964899739257,215.97633136094674,19
19111,328412.5,337400.0,228.6104925889901,220.89742268041238,20
19124,190110.47368421053,185000.0,152.5711290372946,161.52716593245228,19
19128,450300.0,412250.0,261.52249037427634,261.5684929608691,20
19380,733088.947368421,699000.0,267.77862716029074,244.31654676258992,19
19601,232219.95,209950.0,132.4310972612564,129.66252856451078,20
